Cas592	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	99.59190	97.65052	99.27180	97.19797	1169.73999	5046.08057	265.16068	0.00000	1.00000	662.01898	5612.52539	11919	1	-1	1	0	0
1	99.62647	97.71059	99.38559	97.31282	1328.79053	6464.94043	281.49435	0.00000	1.00000	575.31689	7186.07764	12020	1	-1	1	0	0
1	99.42792	97.52328	99.24073	97.17697	1101.80640	4502.59277	257.31076	0.00000	1.00000	652.47876	4932.02930	12121	1	-1	1	0	0
1	99.58266	97.63799	99.41910	97.23223	1165.55530	6162.95361	293.36411	0.00000	1.00000	650.16577	6749.85547	12222	1	-1	1	0	0
1	99.36998	97.83530	99.24641	97.32773	831.78571	4982.87842	312.60510	0.00000	1.00000	631.39526	5456.12012	12323	1	-1	1	0	0
1	99.48717	97.72719	99.30193	97.19736	1389.50842	5655.48730	265.08206	0.00000	1.00000	603.96741	6409.81689	12424	1	-1	1	0	0
1	99.71432	97.83949	99.41712	97.30749	1020.88153	4137.01172	257.06000	0.00000	1.00000	651.73218	4587.69336	12525	1	-1	1	0	0
1	99.58357	97.72725	99.29275	97.18389	1257.01672	5373.96973	265.00436	0.00000	1.00000	631.57581	6010.60498	12626	1	-1	1	0	0
1	99.59524	97.89031	99.33530	97.32327	1134.25781	4842.12207	263.87439	0.00000	1.00000	673.96057	5279.98779	12727	1	-1	1	0	0
1	99.57857	97.76546	99.33132	97.26866	961.21503	4281.02832	264.73953	0.00000	1.00000	664.15991	4952.00391	12828	1	-1	1	0	0
1	99.54920	97.56971	99.33916	97.19369	1158.15417	3617.32739	221.14261	0.00000	1.00000	698.49353	4658.66162	12929	1	-1	1	0	0
1	99.47488	97.60759	99.25275	97.22848	1044.83081	4707.05371	270.84155	0.00000	1.00000	616.83221	5149.19580	13030	1	-1	1	0	0
1	99.70732	97.74185	99.40997	97.29871	810.29376	4698.26270	304.15775	0.00000	1.00000	617.93927	5645.51611	13131	1	-1	1	0	0
1	99.61114	97.68785	99.25568	97.24872	906.75079	4200.40332	276.88565	0.00000	1.00000	677.84528	4837.86621	13232	1	-1	1	0	0
1	99.80933	97.64577	99.42283	97.15741	1054.33765	4368.57764	259.86044	0.00000	1.00000	607.15942	5107.01563	13333	1	-1	1	0	0
1	99.62574	97.98849	99.26891	97.40411	1005.88416	6432.71436	322.90097	0.00000	1.00000	654.62915	6799.27344	13434	1	-1	1	0	0
1	99.68080	97.71703	99.34336	97.16137	1226.05774	3877.01001	225.87897	0.00000	1.00000	714.02753	4543.31201	13535	1	-1	1	0	0
1	99.67548	97.80958	99.36208	97.32623	1578.82129	5196.63672	230.98711	0.00000	1.00000	682.28833	5925.79395	13636	1	-1	1	0	0
1	99.53216	97.60072	99.29784	97.13078	790.61310	5456.52588	271.53018	0.00000	1.00000	604.14990	6347.25049	13737	1	-1	1	0	0
1	99.51019	97.88194	99.30612	97.41433	1109.28076	8639.35156	356.26953	0.00000	1.00000	562.00964	8908.76074	13838	1	-1	1	0	0
1	99.57827	97.50600	99.34259	97.13707	1458.93103	4018.38306	191.37889	0.00000	1.00000	721.77313	4543.67383	13939	1	-1	1	0	0
1	99.58938	97.59110	99.34759	97.23277	1317.05884	4750.94580	241.20462	0.00000	1.00000	667.41333	5148.66699	14040	1	-1	1	0	0
1	99.52197	97.75599	99.32738	97.33430	1036.82251	4125.24268	260.58920	0.00000	1.00000	683.23944	4696.01416	14141	1	-1	1	0	0
1	99.45691	97.58797	99.25114	97.21900	1121.58740	4554.18799	257.13004	0.00000	1.00000	709.13733	5026.56689	14242	1	-1	1	0	0
